	user_id	gender	gender_confidence	race	race_confidence	age_value	age_range	smiling	category	position	url	gig_categories	languages	overall_rating	num_reviews	num_projects	country	user_level	avg_response	verified-e_mail	verified_twitter	verified_googleplus	verified_facebook	verified_linkdin	member_since	recent_delivery	profile_image_url	gig_subcategories	about	position_on_screen_high_rating	position_on_screen_recommended	position_on_screen_new
45	evoque	-	-1	-	-1	-1	-1	-1	Banner Advertising	buyer			English;	0	0	0	United Kingdom			True	False	False	False	False	2013-06-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/1267961/original/ArwinTheGreat.jpg?1424110215			{}	{}	{}
46	superstrat	-	-1	-	-1	-1	-1	-1	Banner Advertising	buyer			English;	0	0	0	Spain		N/A	True	False	False	False	False	2013-02-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/1267961/original/ArwinTheGreat.jpg?1424110215			{}	{}	{}
47	willgw77	-	-1	-	-1	-1	-1	-1	Banner Advertising	buyer			English;	0	0	0	United States			True	False	False	False	False	2013-03-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/1267961/original/ArwinTheGreat.jpg?1424110215			{}	{}	{}
48	thestub	-	-1	-	-1	-1	-1	-1	Banner Advertising	buyer			English;	0	0	0	United States			True	False	False	False	False	2012-09-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/1267961/original/ArwinTheGreat.jpg?1424110215			{}	{}	{}
49	hanky82	-	-1	-	-1	-1	-1	-1	Banner Advertising	buyer			English;	0	0	0	Sweden			True	False	False	False	False	2012-07-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/1267961/original/ArwinTheGreat.jpg?1424110215			{}	{}	{}
50	kjmiami23	-	-1	-	-1	-1	-1	-1	Banner Advertising	buyer			English;	0	0	0	United Kingdom			True	False	False	False	False	2011-11-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/1267961/original/ArwinTheGreat.jpg?1424110215			{}	{}	{}
51	reza36	-	-1	-	-1	-1	-1	-1	Banner Advertising	buyer			English;	0	0	0	Germany			True	False	False	False	False	2013-07-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/1267961/original/ArwinTheGreat.jpg?1424110215			{}	{}	{}
52	aussie2727	-	-1	-	-1	-1	-1	-1	Banner Advertising	buyer			English;	0	0	0	Australia			True	False	False	False	False	2013-06-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/1267961/original/ArwinTheGreat.jpg?1424110215			{}	{}	{}
53	usmarketingco	-	-1	-	-1	-1	-1	-1	Banner Advertising	seller	https://cdnil1.fiverrcdn.com/photos/12193030/original/USA-FIVERR.jpg?1438374043	graphics-design;programming-tech;advertising;	English;	0.0	0	4	United States			True	False	False	False	False	2015-07-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/12193030/original/USA-FIVERR.jpg?1438374043	creative-logo-design;user-testing-services;banner-advertising;social-media-design;	Hi, Kim here from US Marketing Co. I run a small Us Based Marketing & Design Co. My main focus is to provide you with affordable quality services while growing my online portfolio and build a long term client network. I look forward in working with you. If you have any questions, please message me.	{}	{15888809: None}	{15888809: None}
54	exwhyezee	-	-1	-	-1	-1	-1	-1	Banner Advertising	seller		advertising;	English;	0	0	1	United States			True	False	False	False	False	2013-01-01 00:00:00		-	banner-advertising;		{}	{1427538: 1343}	{}
